"GEO_ID","NAME","B17003_001E","B17003_001M","B17003_002E","B17003_002M","B17003_003E","B17003_003M","B17003_004E","B17003_004M","B17003_005E","B17003_005M","B17003_006E","B17003_006M","B17003_007E","B17003_007M","B17003_008E","B17003_008M","B17003_009E","B17003_009M","B17003_010E","B17003_010M","B17003_011E","B17003_011M","B17003_012E","B17003_012M","B17003_013E","B17003_013M","B17003_014E","B17003_014M","B17003_015E","B17003_015M","B17003_016E","B17003_016M","B17003_017E","B17003_017M","B17003_018E","B17003_018M","B17003_019E","B17003_019M","B17003_020E","B17003_020M","B17003_021E","B17003_021M","B17003_022E","B17003_022M","B17003_023E","B17003_023M"
"0400000US13","Georgia","6663050","2159","833842","8118","322939","4863","105434","2978","114980","2987","64237","2255","38288","1573","510903","5313","139951","2981","173856","3682","141784","3088","55312","1949","5829208","8681","2806194","5785","335037","5158","787257","7619","767904","6515","915996","8027","3023014","5402","282157","4464","764825","6580","913788","6817","1062244","8375"
"0400000US16","Idaho","1074625","899","115550","2794","48347","1716","9392","815","16653","1121","15841","944","6461","587","67203","1780","11698","743","24671","1354","23256","1053","7578","736","959075","2895","479782","1874","43739","1627","132242","2357","163403","2489","140398","2290","479293","1900","35292","1357","121652","2419","184338","2880","138011","2562"
"0400000US15","Hawaii","974430","472","84430","2240","37094","1296","6194","600","14558","869","10177","684","6165","537","47336","1470","8392","788","16723","928","14004","826","8217","584","890000","2249","440218","1308","30186","1212","121992","2149","143841","2123","144199","1960","449782","1573","33567","1306","113852","2045","141644","2122","160719","2310"
"0400000US17","Illinois","8535365","1471","876606","7804","352468","4385","90392","2130","123010","2689","84421","2137","54645","1659","524138","5375","123049","3010","172534","2983","156570","2770","71985","2055","7658759","8146","3742427","4484","372420","4180","970210","7163","1058182","5891","1341615","8242","3916332","5766","335314","3686","947008","5830","1158221","6097","1475789","9418"
"0400000US18","Indiana","4313594","1509","459134","5596","182830","3078","51818","1666","71419","2046","40333","1606","19260","953","276304","3564","66547","1958","102039","2264","81837","2076","25881","1134","3854460","6064","1889336","3359","191653","3260","643888","4922","538342","3958","515453","5283","1965124","3664","170341","2735","619758","4828","603754","4408","571271","5668"
"0400000US19","Iowa","2043556","944","177435","3203","72371","2098","15478","874","28139","1212","19927","904","8827","640","105064","1953","19074","955","39305","1139","34606","1129","12079","709","1866121","3434","924985","2307","70012","1450","296353","2928","293257","3052","265363","3163","941136","2168","54790","1330","265734","2279","323444","2455","297168","2973"
"0400000US20","Kansas","1856584","1045","172099","3015","71335","1644","16012","908","26263","1032","19648","792","9412","604","100764","2014","21664","1140","32667","1050","34021","1265","12412","679","1684485","3377","832154","1891","71159","1624","216479","2588","257973","2479","286543","3094","852331","2180","58537","1395","201419","2767","281899","2755","310476","3463"
"0400000US21","Kentucky","2939830","1441","430989","5866","178243","3419","65110","1934","68253","2102","32520","1401","12360","784","252746","3652","70891","2048","90480","2281","72457","1868","18918","1132","2508841","6437","1228481","3690","149085","2380","420554","3607","346332","3780","312510","3855","1280360","4024","125889","2418","386457","3850","406283","4400","361731","4309"
"0400000US22","Louisiana","3030255","1391","465145","6721","176404","3387","62784","2143","67507","2209","31323","1382","14790","889","288741","4185","83203","2422","110706","2333","73248","2096","21584","937","2565110","6842","1251883","3554","169262","3277","432557","5000","338982","4039","311082","4855","1313227","4400","127754","2657","413315","4005","386982","4033","385176","4985"
"0400000US23","Maine","955284","410","100671","2322","42195","1263","9412","621","17749","846","9745","680","5289","497","58476","1592","9669","727","24870","1197","16686","947","7251","574","854613","2372","416039","1346","30279","1405","135696","1549","121268","1885","128796","1949","438574","1680","21874","850","124471","1969","135782","1817","156447","2093"
"0400000US24","Maryland","4055632","862","314579","5303","123959","2533","32642","1328","44711","1541","25540","1065","21066","1111","190620","3815","46411","1725","65435","2272","49064","1331","29710","1258","3741053","5484","1784335","2793","169393","3086","442143","3784","436230","3889","736569","4692","1956718","3761","146809","2850","444674","4386","528184","4288","837051","5339"
"0400000US25","Massachusetts","4680755","825","421447","6202","165326","3063","44566","1762","52640","1724","33622","1282","34498","1544","256121","4353","64431","1652","80925","2412","61420","2176","49345","1599","4259308","6350","2056373","3169","170931","3349","514886","5441","453296","3840","917260","5952","2202935","4437","159030","2596","475262","4679","544902","5488","1023741","6584"
"0400000US26","Michigan","6676032","947","775006","6634","326059","3785","80747","2038","123258","2195","85761","2073","36293","1321","448947","4268","96137","2125","158086","2627","147591","2422","47133","1626","5901026","6806","2881078","3885","239478","3406","824626","4835","930529","4342","886445","5895","3019948","4534","204226","3126","816717","4446","1040337","4622","958668","6369"
"0100000US","United States","214886246","17704","23911393","123965","9754871","54125","2873911","23415","3337859","26294","2239689","12343","1303412","9175","14156522","73659","3815227","32962","4679789","31132","3945493","19163","1716013","10020","190974853","139124","93410852","62135","10187096","48640","25291326","94689","26601521","48022","31330909","155985","97564001","80871","9077637","44235","24511453","75145","29772271","39214","34202640","164885"
